Number of nodes 487 
    87 :    100    101 
    88 :    101    102 
    89 :    102    103 
    90 :    103    104 
    91 :    104    105 
    92 :    105    106 
    93 :    106    107 
    94 :    107    108 
    95 :    108    109 
    96 :    109    110 
    97 :    110    111 
    98 :    111    112 
    99 :    112    113 
   100 :    113    114 
   101 :    114    115 
   102 :    115    116 
   103 :    116    117 
   104 :    117    118 
   105 :    118    119 
   106 :    119    120 
   107 :    120    121 
   108 :    121    122 
   109 :    122    123 
   110 :    123    124 
   111 :    124    125 
   112 :    125    126 
   113 :    126    127 
   114 :    127    128 
   115 :    128      7 
   116 :      5    129 
   117 :    129    130 
   118 :    130    131 
   119 :    131    132 
   120 :    132    133 
   121 :    133    134 
   122 :    134    135 
   123 :    135    136 
   124 :    136    137 
   125 :    137      7 
   126 :      8    138 
   127 :    138    139 
   128 :    139    140 
   129 :    140     10 
   130 :     10    141 
   131 :    141    142 
   132 :    142    143 
   133 :    143      9 
   134 :     11    144 
   135 :    144    145 
   136 :    145    146 
   137 :    146    147 
   138 :    147    148 
   139 :    148    149 
   140 :    149    150 
   141 :    150    151 
   142 :    151    152 
   143 :    152    153 
   144 :    153    154 
   145 :    154    155 
   146 :    155    156 
   147 :    156    157 
   148 :    157    158 
   149 :    158    159 
   150 :    159    160 
   151 :    160     12 
   152 :     13    161 
   153 :    161    162 
   154 :    162    163 
   155 :    163    164 
   156 :    164    165 
   157 :    165    166 
   158 :    166    167 
   159 :    167    168 
   160 :    168    169 
   161 :    169    170 
   162 :    170    171 
   163 :    171    172 
   164 :    172    173 
   165 :    173    174 
   166 :    174    175 
   167 :    175    176 
   168 :    176    177 
   169 :    177     14 
   170 :     15    178 
   171 :    178    179 
   172 :    179    180 
   173 :    180      5 
   174 :      4    181 
   175 :    181    182 
   176 :    182    183 
   177 :    183    184 
   178 :    184    185 
   179 :    185    186 
   180 :    186    187 
   181 :    187    188 
   182 :    188      0 
   183 :      1    189 
   184 :    189    190 
   185 :    190    191 
   186 :    191     16 
   187 :     16    192 
   188 :    192    193 
   189 :    193    194 
   190 :    194    195 
   191 :    195    196 
   192 :    196     11 
   193 :     12    197 
   194 :    197    198 
   195 :    198      9 
   196 :      8    199 
   197 :    199    200 
   198 :    200     14 
   199 :     13    201 
   200 :    201    202 
   201 :    202    203 
   202 :    203    204 
   203 :    204    205 
   204 :    205     15 
   205 :     17    206 
   206 :    206    207 
   207 :    207    208 
